Comment,Designator,Footprint,LCSC,Quantity
0402B102K500NT,C13,C0402,C1523,1
0603 Led Green,LED5,LED0603-RD,C12624,1
0603WAF0000T5E,R18,R0603,C21189,1
0603WAF1000T5E,R11,R0603,C22775,1
0603WAF1002T5E,"R15,R26,R33,R35,R36,R38,R62,R9",R0603,C25804,8
0603WAF100JT5E,R31,R0603,C22859,1
0603WAF1052T5E,R30,R0603,C22855,1
0603WAF1500T5E,"R76,R77",R0603,C22808,2
0603WAF2201T5E,R22,R0603,C4190,1
0603WAF2212T5E,R13,R0603,C25961,1
0603WAF3300T5E,R78,R0603,C23138,1
0603WAF5101T5E,"R4,R43,R44,R5",R0603,C23186,4
0603WAF5102T5E,R39,R0603,C23196,1
0603WAF5232T5E,R37,R0603,C23198,1
0603WAF7322T5E,R19,R0603,C14890,1
1.25-6PWT,CN6,CONN-SMD_1.25-6PWT-C2763634,C2763634,1
100K,"R49,R55,R58,R63,R65,R66,R67,R68",R0603,C25803,8
100Mhz Ferrit Bead,L2,L0805,C21519,1
100nF,"C12,C35,C40,C41,C42,C48,C51,C56,C58",C0603,C14663,9
100nF,C4,C0402,C307331,1
10164227-1001A1RLF,"CN4,CN5",CONN-SMD_100P-P0.40_10164227-1001A1RLF,C6782225,2
10K,"R25,R41,R51,R52,R53,R54,R56",R0603,C25804,7
10R,R32,R0603,C22859,1
10uF,"C15,C16,C20,C23,C24,C36,C37,C38,C47,C55,C57,C59,C60",C0805,C15850,13
1K,"R50,R72,R8",R0603,C21190,3
1uF,C30,C0603,C1592,1
1uH,L1,IND-SMD_L4.0-W4.0-A,C4555951,1
2.00mm-4P-JST,"U18,U2",CONN-TH_B4B-PH-K-LF-SN,C265289,2
2.2K,"R1,R6",R0603,C4190,2
2.2k,R7,R0603,C4190,1
2.2uF,C11,C1206,C50254,1
2.54mm-3P-JST,H3,HDR-TH_3P-P2.54-V-M-1,C49257,1
22.1K,R14,R0603,C25961,1
22uF,C46,C0805,C377773,1
24K,R20,R0603,C23352,1
30K,R24,R0603,C22984,1
330R,R61,R0603,C23138,1
39K,R21,R0603,C23153,1
4.7uF,C21,C0603,C19666,1
4.7uH,L4,IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,C48427,1
47nF,C6,C0603,C1622,1
5.1K,R23,R0603,C14677,1
503398-1892,Card1,TF-SMD_503398-1892,C428492,1
51K,R40,R0603,C23196,1
A1251WV-8P,CN1,CONN-TH_8P-P1.25_A1251WV-8P,C225096,1
B2B-PH-K-S,"CN2,CN7",CONN-TH_B2B-PH-K-S,C131337,2
BM04B-SRSS-TB,CN10,CONN-SMD_BM04B-SRSS-TB,C160390,1
BQ25792RQMR,U3,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,C2862876,1
CC0603KRX7R9BB104,"C31,C34,C7,C9",C0603,C14663,4
CL05B104KB54PNC,C17,C0402,C307331,1
CL10B473KB8NNNC,"C45,C5",C0603,C1622,2
CL21A106KAYNNNE,"C14,C27",C0805,C15850,2
CL21A225KBQNNNE,C49,C0805,C377773,1
CL21A226MAQNNNE,"C29,C43,C44",C0805,C45783,3
DRV8848PWPR,U10,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,C131079,1
DSHP05TSGER_2,U1,SW-SMD_10P-P1.27-L7.8-W5.4,C3293145,1
ESP32-S3-WROOM-1,U7,WIRELM-SMD_ESP32-S3-WROOM-1,C2913202,1
FH12-22S-0.5SH,"FPC1,FPC2",FPC-SMD_22P-P0.50_FH12-22S-0.5SH-55,C597981,2
FUSE,"F1,F2",FUSE-SMD_L7.7-W5.4-H2.6,C495350,2
IHLP3232DZER3R3M01,U6,IND-SMD_L8.2-W8.2,C845057,1
INA228AIDGSR,U4,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,C2887910,1
KT-0603R,"LED2,LED3",LED0603-RD,C2286,2
LMR50410XDBVR,"U16,U17",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2841056,2
LSM6DSOXTR,U8,LGA-14L_L3.0-W2.5-P0.50-TL,C481766,1
MAX98357AETE+T,U20,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,C910544,1
PH-3A_C2908624,CN3,CONN-TH_3P-P2.00_HCTL_PH-3A_C2908624,C2908624,1
PZ2.54-2*4,U22,HDR-TH_8P-P2.54-V-M-R2-C4-S2.54,C5156676,1
RLP25FEGR010,R17,R2512,C393070,1
RT9742GGJ5,U12,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C250547,1
SMAJ16A_C74561,D2,SMA_L4.3-W2.6-LS5.2-RD,C74561,1
SMBJ13A_C188307,D1,SMB_L4.6-W3.6-LS5.3-RD,C188307,1
SWPA4020S4R7MT,L3,IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,C48427,1
TCA9534PWR,U21,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,C783615,1
TPS56A37RPAR,U5,VQFN-HR-10_L3.0-W3.0_TI_RPA,C22392669,1
TS-1088,SW1,SW-SMD_L3.9-W3.0-P4.45,C720477,1
TYPE-C-31-M-12,"USBC1,USBC2",USB-C_SMD-TYPE-C-31-M-12_1,C165948,2
XH-2A,"CN11,CN12,CN8,CN9",CONN-TH_XH-2A,C20079,4
ZH-6PWB,"FPC3,FPC4",FPC-SMD_6P-P1.50_DEALON_ZH-6PWB,C2905018,2
SYSTEM_LOAD Test Point,LD,TestPoint_Pad_D1.5mm,,1
